name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
Accommodation services,CHF,,,0.174,0.174,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
"Air travels, tickets",CHF,,,0.971,0.971,3.331e-16,GWP100 IPCC 2021,kg CO2-eq
Alcoholic and non-alcoholic beer,litre,,,0.1026,0.1023,0.007802,GWP100 IPCC 2021,kg CO2-eq
Alcoholic and non-alcoholic liqueurs and liqueur-based aperitifs,litre,,,0.4941,0.4989,1.11,GWP100 IPCC 2021,kg CO2-eq
Apples,kilogram,,,0.3837,0.3793,0.3062,GWP100 IPCC 2021,kg CO2-eq
Bakery products (sweet and salty),kilogram,,,1.682,1.664,0.2177,GWP100 IPCC 2021,kg CO2-eq
Banana,kilogram,,,0.1152,0.1091,0.1408,GWP100 IPCC 2021,kg CO2-eq
Beans and peas,kilogram,,,0.6514,0.6497,0.04895,GWP100 IPCC 2021,kg CO2-eq
Beef,kilogram,,,25.81,25.73,1.43,GWP100 IPCC 2021,kg CO2-eq
Beets and other root vegetables,kilogram,,,1.851,1.847,0.3013,GWP100 IPCC 2021,kg CO2-eq
Berries,kilogram,,,0.7688,0.7716,0.5544,GWP100 IPCC 2021,kg CO2-eq
Bicycles,person kilometer,,,0.01494,0.01327,0.007904,GWP100 IPCC 2021,kg CO2-eq
Books and brochures,CHF,,,0.1507,0.1507,0,GWP100 IPCC 2021,kg CO2-eq
Brassicas,kilogram,,,0.5107,0.5342,0.4719,GWP100 IPCC 2021,kg CO2-eq
Bread,kilogram,,,0.5385,0.5364,0.03479,GWP100 IPCC 2021,kg CO2-eq
"Bus, tickets and travelcards",person kilometer,,,0.06111,0.06016,0.009924,GWP100 IPCC 2021,kg CO2-eq
Butter,kilogram,,,8.341,8.178,1.662,GWP100 IPCC 2021,kg CO2-eq
Canteens,CHF,,,0.174,0.174,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Central heating or district heating of principal residence,megajoule,,,0.08321,0.08254,0.008615,GWP100 IPCC 2021,kg CO2-eq
Chocolate,kilogram,,,12.92,12.86,1.052,GWP100 IPCC 2021,kg CO2-eq
Cinema,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Cleaning articles,CHF,,,0.4556,0.4556,0,GWP100 IPCC 2021,kg CO2-eq
"Cleaning, repair and hire of clothing",CHF,,,0.1127,0.1127,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Clothing accessories,CHF,,,0.7255,0.7255,0,GWP100 IPCC 2021,kg CO2-eq
Clothing materials,CHF,,,0.7255,0.7255,0,GWP100 IPCC 2021,kg CO2-eq
Cocoa-based beverages,kilogram,,,14.17,14.11,1.058,GWP100 IPCC 2021,kg CO2-eq
"Cookers, barbecue, space heaters and room care appliances",CHF,,,0.1905,0.1905,0,GWP100 IPCC 2021,kg CO2-eq
Cream,litre,,,2.937,2.899,0.4673,GWP100 IPCC 2021,kg CO2-eq
Culinary herbs,kilogram,,,0.4153,0.4082,0.402,GWP100 IPCC 2021,kg CO2-eq
Curd,kilogram,,,14.67,14.26,3.241,GWP100 IPCC 2021,kg CO2-eq
Cutlery,CHF,,,0.2116,0.2116,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Dental care products,CHF,,,0.0009313,0.0009313,4.337e-19,GWP100 IPCC 2021,kg CO2-eq
Desktop computers,unit,,,158.3,155.7,57.27,GWP100 IPCC 2021,kg CO2-eq
Detergents and cleaning products,CHF,,,0.0009313,0.0009313,4.337e-19,GWP100 IPCC 2021,kg CO2-eq
Diesel,litre,,,5.409,5.352,0.5982,GWP100 IPCC 2021,kg CO2-eq
Domestic services and household services,CHF,,,0.2018,0.2018,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Dues for recreational associations,CHF,,,0.3182,0.3182,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Dues for sports clubs and associations,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Dues to cultural associations,CHF,,,0.3182,0.3182,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Dues to organisations and associations,CHF,,,0.3182,0.3182,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Durable goods for recreation and sports,CHF,,,0.419,0.419,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Education services,CHF,,,0.1788,0.1788,0,GWP100 IPCC 2021,kg CO2-eq
"Egg, national average, at farm gate",kilogram,,,1.915,1.884,0.3284,GWP100 IPCC 2021,kg CO2-eq
Electrical appliances for personal care,CHF,,,0.1905,0.1905,0,GWP100 IPCC 2021,kg CO2-eq
Electricity of principal residence,kilowatt hour,,,0.04662,0.04634,0.003933,GWP100 IPCC 2021,kg CO2-eq
Entries in sports facilities,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Equipment for sports and camping,CHF,,,0.4556,0.4556,0,GWP100 IPCC 2021,kg CO2-eq
"Equipment for the reception, recording and reproduction of sound and pictures",CHF,,,0.4755,0.4755,1.11e-16,GWP100 IPCC 2021,kg CO2-eq
Fees,CHF,,,0.1181,0.1181,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Fees for radio and TV reception,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Financial services,CHF,,,0.04312,0.04312,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Fish,kilogram,,,0,0,0,GWP100 IPCC 2021,kg CO2-eq
Fixed line,CHF,,,0.09453,0.09453,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Footwear for children and babies,CHF,,,0.6865,0.6865,0,GWP100 IPCC 2021,kg CO2-eq
Footwear for men,CHF,,,0.6865,0.6865,0,GWP100 IPCC 2021,kg CO2-eq
Footwear for women,CHF,,,0.6865,0.6865,0,GWP100 IPCC 2021,kg CO2-eq
Fresh eggs,kilogram,,,0,0,0,GWP100 IPCC 2021,kg CO2-eq
"Fresh, soft and melted cheese",kilogram,,,14.67,14.26,3.241,GWP100 IPCC 2021,kg CO2-eq
Fruit juices,litre,,,0.2804,0.2648,0.7144,GWP100 IPCC 2021,kg CO2-eq
"Furniture and furnishings, carpets and other floor coverings incl. repairs",CHF,,,0.4556,0.4556,0,GWP100 IPCC 2021,kg CO2-eq
"Games, toys and hobbies",CHF,,,0.4556,0.4556,0,GWP100 IPCC 2021,kg CO2-eq
Garlic,kilogram,,,-0.253,-0.1459,9.586,GWP100 IPCC 2021,kg CO2-eq
Garments for children (between 0 and 13 years),CHF,,,0.5422,0.5422,0,GWP100 IPCC 2021,kg CO2-eq
Garments for men,CHF,,,0.5422,0.5422,0,GWP100 IPCC 2021,kg CO2-eq
