name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
Accommodation services,CHF,,,1072,1072,0,Ecological Scarcity total 2021,UBP
"Air travels, tickets",CHF,,,1783,1783,6.821e-13,Ecological Scarcity total 2021,UBP
Alcoholic and non-alcoholic beer,litre,,,958.5,958.5,513.1,Ecological Scarcity total 2021,UBP
Alcoholic and non-alcoholic liqueurs and liqueur-based aperitifs,litre,,,2148,2524,8753,Ecological Scarcity total 2021,UBP
Apples,kilogram,,,5886,5926,3792,Ecological Scarcity total 2021,UBP
Bakery products (sweet and salty),kilogram,,,-864.4,-1.377e+04,8.973e+05,Ecological Scarcity total 2021,UBP
Banana,kilogram,,,1201,1232,1214,Ecological Scarcity total 2021,UBP
Beans and peas,kilogram,,,1.29e+04,1.288e+04,5393,Ecological Scarcity total 2021,UBP
Beef,kilogram,,,4.715e+05,2.93e+05,5.987e+06,Ecological Scarcity total 2021,UBP
Beets and other root vegetables,kilogram,,,6478,6832,7662,Ecological Scarcity total 2021,UBP
Berries,kilogram,,,3264,3509,7255,Ecological Scarcity total 2021,UBP
Bicycles,person kilometer,,,31.05,29.21,110.2,Ecological Scarcity total 2021,UBP
Books and brochures,CHF,,,533,533,1.137e-13,Ecological Scarcity total 2021,UBP
Brassicas,kilogram,,,1799,2213,8061,Ecological Scarcity total 2021,UBP
Bread,kilogram,,,6191,6288,2713,Ecological Scarcity total 2021,UBP
"Bus, tickets and travelcards",person kilometer,,,114.6,113.1,68.56,Ecological Scarcity total 2021,UBP
Butter,kilogram,,,-7.713e+04,-9.223e+04,6.451e+06,Ecological Scarcity total 2021,UBP
Canteens,CHF,,,1072,1072,0,Ecological Scarcity total 2021,UBP
Central heating or district heating of principal residence,megajoule,,,123.5,129.9,194.3,Ecological Scarcity total 2021,UBP
Chocolate,kilogram,,,7.709e+04,7.714e+04,2.138e+04,Ecological Scarcity total 2021,UBP
Cinema,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Cleaning articles,CHF,,,2061,2061,4.547e-13,Ecological Scarcity total 2021,UBP
"Cleaning, repair and hire of clothing",CHF,,,413.6,413.6,1.137e-13,Ecological Scarcity total 2021,UBP
Clothing accessories,CHF,,,2273,2273,4.547e-13,Ecological Scarcity total 2021,UBP
Clothing materials,CHF,,,2273,2273,4.547e-13,Ecological Scarcity total 2021,UBP
Cocoa-based beverages,kilogram,,,7.589e+04,4.919e+04,9.768e+05,Ecological Scarcity total 2021,UBP
"Cookers, barbecue, space heaters and room care appliances",CHF,,,1043,1043,2.274e-13,Ecological Scarcity total 2021,UBP
Cream,litre,,,-9.934e+04,-3.586e+04,2.852e+06,Ecological Scarcity total 2021,UBP
Culinary herbs,kilogram,,,2656,2633,3663,Ecological Scarcity total 2021,UBP
Curd,kilogram,,,3416,-3.03e+05,1.058e+07,Ecological Scarcity total 2021,UBP
Cutlery,CHF,,,1095,1095,0,Ecological Scarcity total 2021,UBP
Dental care products,CHF,,,2.991,2.991,8.882e-16,Ecological Scarcity total 2021,UBP
Desktop computers,unit,,,3.389e+05,4.035e+05,4.28e+06,Ecological Scarcity total 2021,UBP
Detergents and cleaning products,CHF,,,2.991,2.991,8.882e-16,Ecological Scarcity total 2021,UBP
Diesel,litre,,,9109,1.011e+04,2.736e+04,Ecological Scarcity total 2021,UBP
Domestic services and household services,CHF,,,628,628,0,Ecological Scarcity total 2021,UBP
Dues for recreational associations,CHF,,,1411,1411,0,Ecological Scarcity total 2021,UBP
Dues for sports clubs and associations,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Dues to cultural associations,CHF,,,1411,1411,0,Ecological Scarcity total 2021,UBP
Dues to organisations and associations,CHF,,,1411,1411,0,Ecological Scarcity total 2021,UBP
Durable goods for recreation and sports,CHF,,,1939,1939,1.137e-12,Ecological Scarcity total 2021,UBP
Education services,CHF,,,696.3,696.3,2.274e-13,Ecological Scarcity total 2021,UBP
"Egg, national average, at farm gate",kilogram,,,-2.046e+05,-2.516e+05,5.551e+06,Ecological Scarcity total 2021,UBP
Electrical appliances for personal care,CHF,,,1043,1043,2.274e-13,Ecological Scarcity total 2021,UBP
Electricity of principal residence,kilowatt hour,,,257,261.6,307.4,Ecological Scarcity total 2021,UBP
Entries in sports facilities,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Equipment for sports and camping,CHF,,,2061,2061,4.547e-13,Ecological Scarcity total 2021,UBP
"Equipment for the reception, recording and reproduction of sound and pictures",CHF,,,2423,2423,0,Ecological Scarcity total 2021,UBP
Fees,CHF,,,335.1,335.1,1.137e-13,Ecological Scarcity total 2021,UBP
Fees for radio and TV reception,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Financial services,CHF,,,126.7,126.7,2.842e-14,Ecological Scarcity total 2021,UBP
Fish,kilogram,,,0,0,0,Ecological Scarcity total 2021,UBP
Fixed line,CHF,,,356.7,356.7,0,Ecological Scarcity total 2021,UBP
Footwear for children and babies,CHF,,,3136,3136,4.547e-13,Ecological Scarcity total 2021,UBP
Footwear for men,CHF,,,3136,3136,4.547e-13,Ecological Scarcity total 2021,UBP
Footwear for women,CHF,,,3136,3136,4.547e-13,Ecological Scarcity total 2021,UBP
Fresh eggs,kilogram,,,0,0,0,Ecological Scarcity total 2021,UBP
"Fresh, soft and melted cheese",kilogram,,,3416,-3.03e+05,1.058e+07,Ecological Scarcity total 2021,UBP
Fruit juices,litre,,,1.271e+04,1.255e+04,2590,Ecological Scarcity total 2021,UBP
"Furniture and furnishings, carpets and other floor coverings incl. repairs",CHF,,,2061,2061,4.547e-13,Ecological Scarcity total 2021,UBP
"Games, toys and hobbies",CHF,,,2061,2061,4.547e-13,Ecological Scarcity total 2021,UBP
Garlic,kilogram,,,1858,2087,1.07e+04,Ecological Scarcity total 2021,UBP
Garments for children (between 0 and 13 years),CHF,,,1831,1831,9.095e-13,Ecological Scarcity total 2021,UBP
Garments for men,CHF,,,1831,1831,9.095e-13,Ecological Scarcity total 2021,UBP
Garments for women,CHF,,,1831,1831,9.095e-13,Ecological Scarcity total 2021,UBP
Gasoline,litre,,,8145,8856,2.19e+04,Ecological Scarcity total 2021,UBP
Glasses and contact lenses,CHF,,,1010,1010,3.411e-13,Ecological Scarcity total 2021,UBP
"Glassware, tableware",CHF,,,1655,1655,4.547e-13,Ecological Scarcity total 2021,UBP
Grapes,kilogram,,,1502,1765,6121,Ecological Scarcity total 2021,UBP
Green salads and other leafy vegetables,kilogram,,,5623,6082,1.261e+04,Ecological Scarcity total 2021,UBP
Hair care products,CHF,,,2.991,2.991,8.882e-16,Ecological Scarcity total 2021,UBP
"Ham, bacon and other cured or smoked pork",kilogram,,,-3.128e+05,-5.677e+05,1.115e+07,Ecological Scarcity total 2021,UBP
Hard and semi-hard cheese,kilogram,,,3416,-3.03e+05,1.058e+07,Ecological Scarcity total 2021,UBP
"Hare, game and rabbit meat",kilogram,,,4.715e+05,2.93e+05,5.987e+06,Ecological Scarcity total 2021,UBP
Honey,kilogram,,,1154,1254,3505,Ecological Scarcity total 2021,UBP
Horse meat,kilogram,,,4.715e+05,2.93e+05,5.987e+06,Ecological Scarcity total 2021,UBP
Household textiles,CHF,,,2273,2273,4.547e-13,Ecological Scarcity total 2021,UBP
Ice cream,kilogram,,,-1.93e+04,-1.474e+04,8.059e+05,Ecological Scarcity total 2021,UBP
Instant coffee and coffee surrogates,kilogram,,,-3.129e+04,-4.417e+05,8.362e+06,Ecological Scarcity total 2021,UBP
"Jams, marmalades, compotes",kilogram,,,1154,1254,3505,Ecological Scarcity total 2021,UBP
"Jewellery, clocks and watches",CHF,,,2010,2010,6.821e-13,Ecological Scarcity total 2021,UBP
Kitchen utensils,CHF,,,1095,1095,0,Ecological Scarcity total 2021,UBP
"Large trout, 2-4kg, conventional, at farm gate",kilogram,,,1.417e+04,8522,6.502e+05,Ecological Scarcity total 2021,UBP
Lemons,kilogram,,,7631,7642,1411,Ecological Scarcity total 2021,UBP
"Luggage, leather and baby goods",CHF,,,3136,3136,4.547e-13,Ecological Scarcity total 2021,UBP
Machines with engines for house and garden,CHF,,,1043,1043,2.274e-13,Ecological Scarcity total 2021,UBP
Maintenance and repair of the dwelling,CHF,,,734.4,734.4,1.137e-13,Ecological Scarcity total 2021,UBP
Margarine,kilogram,,,1.01e+04,1.02e+04,2526,Ecological Scarcity total 2021,UBP
"Medical products, therapeutic devices and products",CHF,,,1010,1010,3.411e-13,Ecological Scarcity total 2021,UBP
Medical services and hospital services,CHF,,,624.3,624.3,0,Ecological Scarcity total 2021,UBP
Medicines,CHF,,,2.991,2.991,8.882e-16,Ecological Scarcity total 2021,UBP
Melons and watermelons,kilogram,,,1376,1316,3682,Ecological Scarcity total 2021,UBP
Milk-based beverages and other similar milk-based products,litre,,,-160.6,-9457,3.66e+05,Ecological Scarcity total 2021,UBP
Mineral water,litre,,,1.411,1.415,2.128,Ecological Scarcity total 2021,UBP
Miscellaneous printed matter,CHF,,,533,533,1.137e-13,Ecological Scarcity total 2021,UBP
Mobile telephony,CHF,,,356.7,356.7,0,Ecological Scarcity total 2021,UBP
"Museums, exhibitions, libraries, zoological gardens",CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
"Mushrooms and vegetables, dried",kilogram,,,6707,6586,3889,Ecological Scarcity total 2021,UBP
Music and dance classes,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Natural gas and other fuels of principal residence,megajoule,,,123.5,129.9,194.3,Ecological Scarcity total 2021,UBP
Newspapers and periodicals,kilogram,,,149.5,147.4,538.2,Ecological Scarcity total 2021,UBP
Non-alcoholic soft drinks,litre,,,2886,3136,8763,Ecological Scarcity total 2021,UBP
Non-durable products of cotton and paper for personal care,CHF,,,1173,1173,0,Ecological Scarcity total 2021,UBP
Non-electrical appliances for personal care,CHF,,,1095,1095,0,Ecological Scarcity total 2021,UBP
